 ,    ,q  ,u  ,a  ,n  ,t  ,o  ,   ,c  ,o  ,s  ,t  ,a  ,   ,u  ,n  ,a  ,   ,s  ,c  ,a  ,t  ,o  ,l  ,a  ,   ,d  ,i  ,   ,l  ,a  ,v  ,a  ,z  ,z  ,a  ,   ,d  ,i  ,v  ,i  ,n  ,o  ,?  
  ,ST ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx 
i,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,di ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,di ,up ,di ,up ,up ,up 
n,up ,up ,up ,up ,di ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,di ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,di ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,di ,up ,di ,sx ,sx 
 ,up ,up ,up ,up ,up ,di ,up ,di ,up ,up ,up ,up ,up ,di ,up ,up ,di ,di ,up ,up ,up ,up ,up ,up ,up ,di ,up ,up ,di ,up ,up ,up ,up ,up ,up ,up ,di ,up ,up ,sx ,up ,up ,di ,up 
u,up ,up ,di ,up ,up ,sx ,up ,up ,di ,up ,up ,up ,up ,up ,di ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,up ,sx ,up 
n,up ,up ,up ,di ,di ,up ,up ,up ,sx ,up ,up ,up ,up ,up ,up ,di ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx 
a,up ,up ,up ,di ,up ,di ,up ,up ,up ,up ,up ,up ,di ,up ,up ,up ,di ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx 
 ,up ,up ,up ,up ,di ,di ,up ,di ,up ,up ,up ,up ,up ,di ,sx ,up ,up ,di ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx 
s,up ,up ,up ,up ,sx ,sx ,up ,up ,di ,up ,di ,up ,up ,up ,di ,up ,up ,up ,di ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx 
c,up ,up ,up ,up ,up ,up ,up ,up ,di ,up ,up ,di ,up ,up ,sx ,up ,up ,up ,up ,di ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx 
a,up ,up ,up ,di ,up ,up ,up ,up ,up ,di ,up ,sx ,di ,up ,up ,up ,up ,up ,up ,up ,di ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx 
t,up ,up ,up ,up ,di ,di ,up ,up ,up ,sx ,up ,di ,up ,di ,up ,up ,up ,up ,up ,up ,up ,di ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx 
o,up ,up ,up ,up ,sx ,up ,di ,sx ,sx ,sx ,sx ,sx ,up ,sx ,up ,up ,up ,up ,up ,up ,up ,up ,di ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx 
l,up ,up ,up ,up ,up ,up ,up ,di ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,up ,di ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx 
a,up ,up ,up ,di ,sx ,sx ,up ,sx ,up ,up ,up ,up ,di ,sx ,sx ,up ,up ,up ,up ,up ,up ,up ,up ,up ,di ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx ,sx 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
